23;133;123
146;110;174
130;142;132
222;170;136
142;229;63
255;110;74
221;68;146
76;183;165
28;172;120
204;255;0
61;153;121
230;168;215
255;255;102
252;232;131
180;103;77
0;185;251
255;188;217
253;217;181
202;55;103
205;74;76
217;152;160
250;167;108
29;172;214
255;182;83
253;124;110
255;29;206
111;153;64
0;197;205
239;222;205
214;138;89
149;145;140
157;129;186
253;213;177
221;148;117
155;118;83
255;117;24
142;69;133
31;117;254
205;164;222
255;170;204
167;130;93
255;117;56
159;226;191
238;32;77
0;0;0
26;72;118
80;200;120
255;73;108
